,match,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0,India Vs Australia,Mitchell Starc,10,0,55,3,5.50,30,4,1,3,0
1,India Vs Australia,Josh Hazlewood,10,0,60,2,6.00,22,4,1,1,0
2,India Vs Australia,Glenn Maxwell,6,0,35,1,5.83,19,4,1,0,0
3,India Vs Australia,Pat Cummins,10,0,34,2,3.40,30,0,0,2,0
4,India Vs Australia,Adam Zampa,10,0,44,1,4.40,22,1,0,1,0
5,India Vs Australia,Mitchell Marsh,2,0,5,0,2.50,7,0,0,0,0
6,India Vs Australia,Travis Head,2,0,4,0,2.00,8,0,0,0,0
7,India Vs Australia,Jasprit Bumrah,9,2,43,2,4.77,37,8,0,0,0
8,India Vs Australia,Mohammed Shami,7,1,47,1,6.71,28,6,1,3,0
9,India Vs Australia,Ravindra Jadeja,10,0,43,0,4.30,29,1,1,1,0
10,India Vs Australia,Kuldeep Yadav,10,0,56,0,5.60,25,3,2,0,0
11,India Vs Australia,Mohammed Siraj,7,0,45,1,6.42,16,4,1,0,0
12,South Africa Vs Australia,Mitchell Starc,10,1,34,3,3.40,46,3,1,4,0
13,South Africa Vs Australia,Josh Hazlewood,8,3,12,2,1.50,39,1,0,0,0
14,South Africa Vs Australia,Pat Cummins,9.4,0,51,3,5.27,32,5,1,2,0
15,South Africa Vs Australia,Adam Zampa,7,0,55,0,7.85,21,1,6,0,0
16,South Africa Vs Australia,Glenn Maxwell,10,0,35,0,3.50,35,3,0,0,0
17,South Africa Vs Australia,Travis Head,5,0,21,2,4.20,19,3,0,1,0
18,South Africa Vs Australia,Marco Jansen,4.2,0,35,0,8.07,18,6,1,4,0
19,South Africa Vs Australia,Kagiso Rabada,6,0,41,1,6.83,24,2,4,1,1
20,South Africa Vs Australia,Aiden Markram,8,1,23,1,2.87,34,1,1,1,0
21,South Africa Vs Australia,Gerald Coetzee,9,0,47,2,5.22,35,8,0,1,1
22,South Africa Vs Australia,Tabraiz Shamsi,10,0,42,2,4.20,36,3,0,5,0
23,South Africa Vs Australia,Keshav Maharaj,10,0,24,1,2.40,39,1,0,0,0
24,India Vs New Zealand,Trent Boult,10,0,86,1,8.60,26,9,4,2,0
25,India Vs New Zealand,Tim Southee,10,0,100,3,10.00,20,8,6,1,0
26,India Vs New Zealand,Mitchell Santner,10,1,51,0,5.10,29,3,2,0,0
27,India Vs New Zealand,Lockie Ferguson,8,0,65,0,8.12,15,7,1,1,0
28,India Vs New Zealand,Rachin Ravindra,7,0,60,0,8.57,13,2,4,2,0
29,India Vs New Zealand,Glenn Phillips,5,0,33,0,6.60,11,1,2,0,0
30,India Vs New Zealand,Jasprit Bumrah,10,1,64,1,6.40,32,6,1,6,0
31,India Vs New Zealand,Mohammed Siraj,9,0,78,1,8.66,26,10,3,3,0
32,India Vs New Zealand,Mohammed Shami,9.5,0,57,7,5.79,37,3,4,2,0
33,India Vs New Zealand,Ravindra Jadeja,10,0,63,0,6.30,29,3,3,0,1
34,India Vs New Zealand,Kuldeep Yadav,10,0,56,1,5.60,26,6,0,0,0
35,India Vs Netherlands,Aryan Dutt,7,0,52,0,7.42,19,7,1,1,0
36,India Vs Netherlands,Logan van Beek,10,0,107,0,10.70,17,10,6,1,0
37,India Vs Netherlands,Colin Ackermann,3,0,25,0,8.33,5,2,1,1,0
38,India Vs Netherlands,Paul van Meekeren,10,0,90,1,9.00,19,6,5,2,1
39,India Vs Netherlands,Roelof van der Merwe,10,0,53,1,5.30,27,4,1,0,0
40,India Vs Netherlands,Bas de Leede,10,0,82,2,8.20,22,8,2,8,0
41,India Vs Netherlands,Jasprit Bumrah,9,1,33,2,3.66,35,3,0,1,0
